wmo,cycle,date,latitude,longitude
4903532,105,2026-03-10T02:16:27Z,58.165,-56.987
4903533,78,2025-06-05T03:24:13Z,41.956,-29.343
4903533,87,2025-09-03T11:13:12Z,41.346,-29.153
4903565,13,2025-06-18T23:30:15Z,17.175,-49.052
4903566,14,2026-07-01T08:30:28Z,-52.377,157.21
4903567,1,2026-06-23T14:04:29Z,26.878,-46.178
4903567,2,2026-07-03T13:33:20Z,26.413,-46.349
4903570,27,2024-08-30T02:53:49Z,33.268,-67.801
4903570,94,2026-07-06T00:40:03Z,29.67,-75.03
4903571,33,2025-01-25T10:33:41Z,21.027,-28.483
4903571,59,2025-10-14T03:44:16Z,20.565,-28.925
4903590,211,2026-06-05T15:28:54Z,54.043,-143.593
4903591,77,2024-07-01T19:35:19Z,46.24,-150.845
4903591,121,2025-02-16T00:10:43Z,47.137,-151.625
4903613,1,2025-01-27T08:57:56Z,-64.001,119.867
4903615,85,2025-12-05T13:58:47Z,28.227,143.315
4903619,261,2025-12-25T15:33:26Z,3.53,134.311
4903619,305,2026-02-08T15:48:00Z,2.435,135.497
4903622,127,2025-03-19T18:44:24Z,24.351,-93.065
4903622,135,2025-06-10T08:37:59Z,25.162,-89.931
4903634,106,2025-02-20T14:19:52Z,52.437,-43.096
4903634,111,2025-04-11T14:13:53Z,49.995,-38.397
4903634,119,2025-06-30T14:19:53Z,51.498,-35.648
4903643,112,2024-07-12T13:28:00Z,12.894,-41.097
4903658,73,2024-09-06T06:52:26Z,-47.115,98.413
4903658,90,2025-02-06T04:27:26Z,-49.388,124.418
4903659,26,2024-07-24T11:50:03Z,60.671,-18.454
4903660,59,2024-06-26T07:05:18Z,15.848,62.361
4903661,54,2024-03-16T08:14:42Z,35.366,21.536
4903662,96,2024-06-11T12:20:00Z,37.632,-62.701
4903685,17,2026-03-05T11:26:00Z,36.057,-10.42
4903711,67,2025-02-25T11:45:00Z,42.232,35.322
4903739,70,2024-10-26T12:43:51Z,40.593,-24.463
4903739,75,2024-12-14T07:28:56Z,38.844,-26.986
4903739,95,2025-06-23T08:11:04Z,38.415,-27.783
4903740,94,2025-01-26T05:46:36Z,52.395,-11.726
4903747,31,2024-06-02T07:33:31Z,-26.304,108.565
4903747,45,2024-10-24T01:10:06Z,-27.41,107.717
4903748,88,2026-04-09T10:32:28Z,46.203,-168.247
4903751,66,2026-01-22T05:25:11Z,-36.22,82.541
4903752,34,2025-03-19T10:12:05Z,-51.43,-146.141
4903755,8,2024-06-28T10:49:23Z,-61.892,-158.414
4903755,70,2026-03-25T23:44:38Z,-60.413,-120.636
4903760,55,2024-12-28T10:44:21Z,41.185,5.217
4903760,100,2026-03-12T09:46:09Z,37.967,0.679
4903761,6,2025-12-26T05:57:31Z,-15.892,-77.213
4903761,12,2026-01-18T12:15:55Z,-15.447,-76.774
4903783,24,2024-09-17T13:21:00Z,7.12,70.057
4903784,87,2024-03-22T12:13:51Z,55.22,14.528
4903784,89,2024-04-01T12:08:13Z,55.227,14.547
4903784,169,2025-03-23T11:45:46Z,55.114,14.386
4903830,13,2025-05-12T05:25:33Z,27.494,-37.277
4903831,25,2025-11-25T15:58:23Z,-19.283,4.199
4903832,22,2026-04-07T05:07:46Z,-6.859,63.556
4903832,24,2026-04-27T08:40:58Z,-7.246,64.934
4903847,74,2025-09-23T10:57:02Z,40.591,11.633
4903848,54,2026-03-09T10:42:19Z,36.433,17.201
4903849,27,2026-01-10T22:36:53Z,51.252,-152.601
4903850,21,2026-02-09T01:44:57Z,41.379,149.246
4903850,35,2026-07-03T05:52:01Z,43.497,155.897
4903851,11,2025-11-09T04:39:07Z,25.503,131.706
4903854,1,2025-08-24T07:29:34Z,-2.014,163.366
4903855,17,2026-03-03T14:01:44Z,0.573,-156.507
4903856,3,2026-01-18T13:27:51Z,-45.251,7.463
4903857,1,2025-12-29T19:10:20Z,-48.025,3.42
4903857,11,2026-04-11T19:47:42Z,-45.733,5.761
4903858,16,2026-06-03T18:17:37Z,-56.946,4.433
4903859,1,2026-03-11T15:24:52Z,-62.212,46.871
4903860,5,2026-06-14T13:23:12Z,34.139,178.36
4903868,16,2025-09-13T17:59:32Z,-38.2,-50.66
4903868,21,2025-11-03T05:38:54Z,-40.876,-50.258
4903969,7,2026-04-19T03:55:19Z,-54.906,129.436
4903970,11,2026-06-26T21:17:53Z,-58.158,92.401
4903971,1,2026-04-07T16:11:42Z,-40.917,-28.187
